family_id	num_genes	num_detected_loci
ID_104	3	10
ID_113	16	87
ID_116	6	22
ID_12	4	53
ID_127	3	12
ID_131	6	13
ID_14	7	24
ID_141	1	2
ID_142	1	9
ID_146	2	12
ID_147	4	11
ID_148	2	19
ID_154	14	90
ID_156	5	35
ID_163	6	138
ID_167	3	16
ID_175	2	117
ID_179	3	23
ID_182	4	109
ID_188	4	68
ID_207	17	61
ID_208	5	43
ID_209	3	39
ID_211	4	35
ID_212	5	53
ID_213	4	15
ID_215	7	80
ID_22	6	94
ID_222	1	18
ID_226	5	22
ID_24	3	46
ID_240	3	20
ID_245	4	20
ID_251	2	25
ID_26	2	17
ID_260	3	11
ID_261	5	30
ID_267	1	11
ID_280	3	32
ID_283	5	45
ID_300	2	7
ID_302	1	78
ID_313	2	23
ID_324	5	19
ID_327	4	33
ID_332	6	14
ID_334	1	4
ID_338	3	12
ID_348	1	11
ID_35	10	44
ID_354	4	14
ID_357	3	12
ID_359	5	21
ID_374	3	20
ID_386	2	22
ID_391	5	12
ID_393	2	10
ID_395	6	39
ID_399	4	46
ID_400	6	58
ID_402	3	26
ID_403	3	8
ID_407	4	58
ID_411	3	10
ID_43	4	11
ID_431	5	19
ID_443	3	19
ID_448	3	8
ID_458	2	10
ID_462	4	23
ID_468	9	24
ID_474	3	18
ID_481	5	18
ID_49	3	10
ID_490	3	16
ID_63	8	62
ID_65	9	37
ID_68	4	31
ID_71	5	78
ID_78	5	31
ID_8	9	54
ID_88	4	19
ID_92	2	11
